subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,alt_goal_value,alt_goal_selected,alt_goal_progress,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_subgoal_perseveration,chosen_goal_delta,chosen_subgoal_delta,run_num
20,10,29,1,BR,S,1,S_2,3,3,5,3,3,6,3,2,2,1,1,0.6666666666666666,0.3333333333333333,,,1.0,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.01647846709763842,0.8761835518136392,0.014965543692718911,0.05458463240609962,1.3337023999774829,1.2324612999800593,3.1064931969,0.2936483694,,,325.81152910005767,329.96367680002004,331.2973791999975,331.92193160008173,333.1543929000618,1.2324612999800593,336.8591248000739,337.20461100002285,337.4671226000646,0.7445502709193793,0.8333333333333334,0.9652530031533074,0.8997449156438787,0.0063821562281173,0.02836484061857528,0.9652530031533074,0.10441338276518647,0.32695168023146803,0.7445502709193793,0.32695168023146803,HO,0.5,0.02836484061857528,0.0,1.0,,,0.7445502709193793,,0.6666666666666666,0.97,0.01,0.7445502709193793,,C,0.4336760267996982,,,6
20,10,30,1,BR,,,,,3,6,3,1,0,1,2,3,1,1,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,,,,,,,0.5852604953,,,,338.4671226000646,339.9523830953646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
20,10,31,1,HO,C,0,C_2,1,1,0,1,1,0,1,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.2190981178578508,0.3715632533474281,0.014700088371381082,0.3287286742289612,1.491437099990435,1.2335653000045568,1.0718761658,3.047472131,,,344.1406206000829,346.26196490006987,347.7534020000603,351.1269006000366,352.36046590004116,1.2335653000045568,353.67821190005634,354.0511540999869,354.3172293000389,0.16269713261994753,0.16666666666666666,0.09721072766138421,0.07045866533947555,0.06577322976277251,0.09721072766138421,0.8370160425758433,0.10441338276518647,0.16269713261994753,0.32695168023146803,0.32695168023146803,BR,0.0,0.8370160425758433,1.0,0.0,,0.4927861128665001,0.7445502709193793,0.3682612869699557,0.0,0.08424316866336293,0.9075888307517033,0.4215192988437284,0.7445502709193793,S,0.2686089116107998,,,6
20,10,32,1,HO,C,1,C_2,4,1,0,1,1,1,2,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.2450896097591679,0.3738433840397833,0.024272103395158513,0.42333807455691674,2.0563250998966396,0.8943662000820041,3.4249704261,3.1877240581,,,355.31258730008267,359.7810937000904,361.83741879998706,365.3510891000042,366.2454553000862,0.8943662000820041,369.8585303000873,370.2286197000649,370.48689180007204,0.10829280628733608,0.16666666666666666,0.1575218593190592,0.163412798805528,0.16168205865426016,0.1575218593190592,0.6807960820266805,0.11247162967352219,0.10829280628733608,0.32695168023146803,0.32695168023146803,BR,0.0,0.6807960820266805,0.0,1.0,,0.4927861128665001,0.7445502709193793,0.13300064655928376,0.0,0.05925431569918355,0.932354798165217,0.4927861128665001,0.7445502709193793,S,0.34174802044971986,,,6
20,10,33,1,BR,G,1,G_2,3,1,1,2,2,2,2,0,0,1,1,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.6188152348857605,0.4926495702448914,0.013773905170889247,0.0166461284125125,0.8327262999955565,2.113532399991527,3.3265231801,3.0945524416,,,371.4743369000498,375.8507385000121,376.68346480000764,380.1098573000636,382.2233897000551,2.113532399991527,382.87057330005337,383.2345598000102,383.4869330000365,0.3682612869699557,0.16666666666666666,0.7427418440670618,0.7369140435043875,0.1266986477704586,0.1305595081624795,0.7427418440670618,0.10441338276518647,0.10441338276518647,0.3682612869699557,0.10441338276518647,SH,0.16666666666666666,0.1305595081624795,1.0,0.0,0.5930546270973521,,0.4927861128665001,,0.0,0.6765243627510124,0.32347563724898754,0.5930546270973521,0.4927861128665001,S,0.352039106723323,,,6
20,11,0,4,SH,G,0,G_2,2,2,2,2,2,2,2,1,0,1,1,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.14965304079019803,0.3130691185793798,0.18112670319100552,0.02366070308262424,1.6370010999962687,1.8451806999510154,2.4311629848,3.1944580648,,,385.99061640002765,389.47446539998055,391.1114664999768,394.62625890003983,396.47143959999084,1.8451806999510154,397.8171606999822,398.16334520000964,398.421881700051,0.17231583549705934,0.3333333333333333,0.20502835927478313,0.33,0.20502835927478313,0.15152025071232,0.6434513900128969,0.17231583549705934,0.12719647490141706,0.26704114819709635,0.26704114819709635,BR,0.3333333333333333,0.6434513900128969,1.0,0.0,0.12719647490141706,,,0.11698590396469413,0.3333333333333333,0.18801073303314503,0.8119892669668549,0.29397510513708586,0.4927861128665001,S,0.325,,,6
20,11,1,4,HO,C,1,C_2,1,2,2,2,2,2,3,1,0,1,1,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.27159015496917743,0.4689323936765596,0.3746891487148404,0.10879586377208163,1.2944684999529272,0.685725099989213,1.8841130788,2.3613424542,,,399.4061673000688,402.3519553000806,403.6464238000335,406.3437919000862,407.02951700007543,0.685725099989213,409.1444565000711,409.5058498000726,409.77285320009105,0.1218777101489689,0.3333333333333333,0.2487024464746505,0.29700000000000004,0.3763026720520111,0.2487024464746505,0.3749948814733385,0.10441338276518647,0.1218777101489689,0.1831433232459991,0.1831433232459991,BR,0.3333333333333333,0.3763026720520111,1.0,0.0,,0.4927861128665001,0.4927861128665001,0.7445502709193793,0.3333333333333333,0.008768972291534043,0.8568581468663053,0.1218777101489689,0.7445502709193793,S,0.3025,,,6
20,11,2,4,HO,C,0,C_2,2,2,2,3,2,2,3,1,0,1,2,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.1784605708662183,0.11368453683592006,0.4536914268054793,0.15875241907328305,1.5750293999444693,0.8348784999689087,0.7505299042,1.7092173257,,,410.7565230000764,412.5633929000469,414.13842229999136,416.1766488000285,417.0115272999974,0.8348784999689087,420.64405870006885,421.00113600003533,421.25729990005493,0.20946710884973146,0.5,0.5899825763453618,0.36730000000000007,0.21947831076961866,0.5899825763453618,0.19053911288501957,0.1540954927575326,0.20946710884973146,0.13300064655928376,0.1540954927575326,SH,0.3333333333333333,0.21947831076961866,0.0,1.0,,0.7445502709193793,0.7445502709193793,0.3682612869699557,0.6666666666666666,0.817394623391859,0.13824753921156638,0.7445502709193793,0.4215192988437284,M,0.37224999999999997,,,6
20,11,3,4,HO,C,0,C_2,2,2,2,3,2,2,3,1,0,1,2,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.24659674622165498,0.39654225091126527,0.1477696675525484,0.05097254325381748,0.9595018998952582,0.860106399981305,3.2437470693,2.1110584573,,,422.2381294000661,426.54008280008566,427.4995846999809,429.9464361000573,430.80654250003863,0.860106399981305,434.1476865999866,434.518236599979,434.77469640003983,0.1540954927575326,0.5,0.49958979851724816,0.43057000000000006,0.2984664293598029,0.49958979851724816,0.20194377212294895,0.16269713261994753,0.1540954927575326,0.10441338276518647,0.16269713261994753,SH,0.3333333333333333,0.2984664293598029,0.0,1.0,,0.5930546270973521,0.5930546270973521,0.4927861128665001,0.6666666666666666,0.009692182242270397,0.9061941084105696,0.22568643130744614,0.7445502709193793,S,0.435025,,,6
20,11,4,4,BR,G,1,G_2,1,2,2,3,3,3,3,1,0,1,2,0.3333333333333333,0.3333333333333333,,,0.5,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6590305817435391,0.2272592141098055,0.28659107178709564,0.02409346627650183,1.3286933000199497,0.7293360000476241,3.2481320458,3.4717851949,,,435.7630119000096,440.06273040000815,441.3914237000281,445.1900836999994,445.919419700047,0.7293360000476241,449.2127162000397,449.5743422000669,449.84159930003807,0.1218777101489689,0.3333333333333333,0.2343004975939721,0.21651300000000004,0.20841753029330687,0.557281972112721,0.2343004975939721,0.10441338276518647,0.13935985190106354,0.1218777101489689,0.13935985190106354,HO,0.5,0.557281972112721,1.0,0.0,0.3682612869699557,,0.3682612869699557,,0.5,0.24270303473191718,0.7572969652680828,0.17231583549705934,0.32695168023146803,M,0.3132325,,,6
20,11,5,4,BR,S,0,S_2,1,3,3,3,3,3,3,2,0,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.566733486014028,0.30756766312777667,0.03554413432709081,0.011699103779473868,1.3050518999807537,1.1269504999509081,2.2015882391,3.0141179709,,,450.8243129000766,454.0815206000116,455.3865724999923,458.7426269000862,459.8695774000371,1.1269504999509081,461.13438050006516,461.4804253000766,461.7423578000162,0.1831433232459991,0.5,0.34478343089113955,0.2948617,0.45333148262726247,0.2018850864815981,0.34478343089113955,0.26704114819709635,0.1463577027318735,0.1831433232459991,0.26704114819709635,SH,0.5,0.45333148262726247,0.0,1.0,,,0.29397510513708586,,0.0,0.97,0.01,0.20946710884973146,,G,0.23286025000000002,,,6
20,11,6,4,BR,S,0,S_2,4,3,3,3,3,3,3,2,0,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.22227241637125397,0.333803817294267,0.5324569905344296,0.026347758819068524,0.9240910999942571,1.0115625000325963,1.2332671979,0.5084484874,,,462.7322041000007,465.01543600007426,465.9395271000685,466.7790187000064,467.790581200039,1.0115625000325963,471.0834692000644,471.43700160004664,471.693332200055,0.10441338276518647,0.5,0.3499627091260217,0.36537553,0.4211891668526086,0.22884812402136975,0.3499627091260217,0.19542273607297975,0.10441338276518647,0.10441338276518647,0.19542273607297975,SH,0.5,0.4211891668526086,0.0,1.0,,,0.17231583549705934,,0.0,0.97,0.01,0.1540954927575326,,M,0.30957422500000004,,,6
20,11,7,4,SH,M,0,M_2,3,3,3,3,3,3,3,2,0,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.549862298386593,0.16816414337300956,0.2669629403897065,0.013532241880115412,2.2438658999744803,1.5021305000409484,0.5235982961,1.9809609685,,,472.655781700043,474.22269710002,476.4665629999945,478.7683896999806,480.27052020002156,1.5021305000409484,482.0482032999862,482.39672620000783,482.66074389999267,0.32695168023146803,0.5,0.6596279024443229,0.21098207700000002,0.6596279024443229,0.14841783821158097,0.1919542593440962,0.32695168023146803,0.10441338276518647,0.10441338276518647,0.10441338276518647,HO,0.5,0.1919542593440962,1.0,0.0,0.4215192988437284,,,0.22568643130744614,0.3333333333333333,0.019123853730095623,0.9808761462699043,0.20946710884973146,0.7445502709193793,G,0.2076168025,,,6
20,11,8,4,BR,S,1,S_2,1,3,3,3,3,4,4,2,0,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.5,0.22327415739330927,0.3292453304072738,0.4091316599521866,0.0634936584776645,1.4773738000076264,0.9767075000563636,2.1550321507,2.5649277028,,,483.6377927000867,486.83825690008234,488.31563070008997,491.20384339999873,492.1805509000551,0.9767075000563636,494.77649399999063,495.1315720999846,495.39550730003975,0.10441338276518647,0.5,0.23155832492845804,0.38595417930000003,0.508126572611532,0.2603151024600099,0.23155832492845804,0.13935985190106354,0.1218777101489689,0.10441338276518647,0.13935985190106354,SH,0.5,0.508126572611532,1.0,0.0,,,0.10441338276518647,,0.0,1.0,0.01,0.10441338276518647,,M,0.35075512225000005,,,6
20,11,9,4,BR,S,1,S_2,3,3,4,4,3,5,4,2,1,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.6666666666666666,1.0,,,1.0,0.6666666666666666,0.5,0.17055893976986392,0.6700399431279888,0.015572826116031783,0.1499564015979847,0.8064706000732258,0.944366900017485,2.3867422912,3.4716024907,,,496.3971528999973,499.83810779999476,500.644578400068,504.4491372000193,505.3935041000368,0.944366900017485,507.6863433000399,508.0414903999772,508.29648650006857,0.4215192988437284,0.6666666666666666,0.6696666287928205,0.44735876137,0.2096142453839499,0.12071912582322962,0.6696666287928205,0.32695168023146803,0.24462833523322158,0.4215192988437284,0.32695168023146803,SH,0.5,0.2096142453839499,0.0,1.0,,,0.24462833523322158,,0.3333333333333333,0.97,0.01,0.4215192988437284,,G,0.41567961002500003,,,6
20,11,10,4,BR,S,1,S_2,3,3,5,4,3,6,4,2,2,1,2,0.6666666666666666,0.3333333333333333,,,1.0,0.6666666666666666,1.0,,,1.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.026969154084969055,0.9458148812559808,0.014180467108412151,0.01563276430370101,1.1843680000165477,0.6725132000865415,2.7232969985,2.047535625,,,509.2560762000503,513.0382051999914,514.2225732000079,516.6050464999862,517.2775597000727,0.6725132000865415,519.9647549000802,520.3218235999811,520.5809175000759,0.7445502709193793,0.8333333333333334,0.9762157122903583,0.502622885233,0.00890952849655972,0.014874759213081975,0.9762157122903583,0.13300064655928376,0.20946710884973146,0.7445502709193793,0.20946710884973146,HO,0.6666666666666666,0.014874759213081975,0.0,1.0,,,0.5930546270973521,,0.6666666666666666,0.97,0.01,0.7445502709193793,,G,0.4741116490225,,,6
20,11,11,4,BR,,,,,3,6,4,1,1,2,2,3,1,2,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,,,,,,,2.9744358522,,,,521.5809175000759,525.4553533522759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
20,11,12,4,HO,S,1,S_2,2,1,1,2,1,2,3,0,0,1,1,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.6159500136991966,0.3458409181560966,0.024512824312133034,0.03070529816639617,1.2298584000673145,0.9640338999452069,1.6863450979,3.2280580943,,,529.152806899976,531.8907757999841,533.1206342000514,536.6705717000877,537.634605600033,0.9640338999452069,540.3281262000091,540.6733804000542,540.9316909000045,0.10441338276518647,0.3333333333333333,0.07924877470944214,0.23317595660970006,0.07924877470944214,0.07924877470944214,0.8415024505811157,0.10441338276518647,0.10441338276518647,0.32695168023146803,0.32695168023146803,BR,0.16666666666666666,0.8415024505811157,1.0,0.0,,0.1540954927575326,0.7445502709193793,0.4215192988437284,0.0,0.9626659012868272,0.02867042263168773,0.7445502709193793,0.26704114819709635,G,0.5267004841202501,,,6
