subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,SH_pers,HO_pers,BR_pers,alt_goal_value,alt_goal_selected,alt_goal_progress,chosen_goal_progress_rate,alt_goal_progress_rate,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_subgoal_perseveration,chosen_goal_delta,chosen_subgoal_delta,run_num
26,11,14,0,BR,C,0.0,C_2,1,0,2,2,0,2,2,0,1,0,1,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.33491482638214776,0.24075928932382828,0.23021408388923648,0.21411180040478736,0.9862951999530196,2.20443889987655,0.7361288286,2.0322080142,,,519.4697700999677,521.2580866001081,522.2443818000611,524.6338850001339,526.8383239000104,2.20443889987655,527.7735299000051,528.1319178000558,528.399298600154,0.28899652487622063,0.3333333333333333,0.20374202105557981,0.22282020693873006,0.2903656275806619,0.5058923513637583,0.20374202105557981,0.13985570471568273,0.40787296016333685,0.28899652487622063,0.6811537506577301,0.09320174703873002,0.22282020693873006,0.40787296016333685,HO,0.3333333333333333,0.449574068168268,0.5144157601430587,0.5058923513637583,1.0,0.0,0.5110626827343834,,0.33009746377872806,,1.0,0.01,0.57191258851607,,0.5110626827343834,G,0.163546645708225,,,6
26,11,15,0,BR,G,0.0,G_2,2,0,2,2,0,2,2,0,1,0,1,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.39833860924399145,0.2758124121052334,0.17656063117325413,0.169288347477521,0.6746921001467854,0.7658712000120431,2.7737946986,0.8566898396,,,529.3857567000668,533.213503099978,533.8881952001248,535.0726026999764,535.8384738999885,0.7658712000120431,537.7421113001183,538.1281206000131,538.3832960999571,0.28899652487622063,0.3333333333333333,0.6270843746031675,0.30053818624485706,0.05571608845199314,0.3171995369448394,0.6270843746031675,0.13985570471568273,0.36719408098319906,0.28899652487622063,0.6130383755919571,0.08388157233485702,0.30053818624485706,0.36719408098319906,HO,0.3333333333333333,0.449574068168268,0.5022120963890173,0.3171995369448394,0.0,1.0,0.5110626827343834,,0.33009746377872806,,0.0,0.57191258851607,0.42808741148393,0.5110626827343834,0.33009746377872806,S,0.2664876057564025,-0.034258027241183486,-0.06058204095902403,6
26,11,16,0,BR,G,1.0,G_2,1,0,2,2,1,3,2,0,1,0,1,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.4713910564017926,0.1523435523424652,0.2016808131968125,0.19458457805892976,0.93435849994421,1.1825294999871403,0.6371789237,0.9980965748,,,539.4035305001307,541.0999611001462,542.0343196000904,543.3678129001055,544.5503424000926,1.1825294999871403,545.8160441999789,546.1803635000251,546.4326466000639,0.26017369064319956,0.3333333333333333,0.5833625416950723,0.37048436762037135,0.05733251162278831,0.35930494668213936,0.5833625416950723,0.12730214887012337,0.36719408098319906,0.26017369064319956,0.5517345380327614,0.07549341510137132,0.37048436762037135,0.36719408098319906,HO,0.3333333333333333,0.4409272178983617,0.5022120963890173,0.35930494668213936,0.0,1.0,0.46518930244338946,,0.33009746377872806,,0.0,0.7461423388834908,0.2538576611165092,0.46518930244338946,0.33009746377872806,M,0.33983884518076224,0.03393519050679722,0.20455601032053933,6
26,11,17,0,BR,G,1.0,G_2,2,1,3,2,2,4,2,1,1,0,1,0.3333333333333333,0.0,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.7112816393255699,0.0910994382414294,0.11342955756908248,0.10418936486391826,0.624526800122112,0.9019322001840919,2.2743649845,1.6206363776,,,547.4310373000335,550.7468256999273,551.3713525000494,553.3172929999419,554.219225200126,0.9019322001840919,556.65744430013,557.0082189999521,557.2672725999728,0.36364033817015773,0.5,0.7557690950678191,0.4334359308583342,0.061033258511063004,0.18319764642111788,0.7557690950678191,0.22352498065039428,0.36719408098319906,0.36364033817015773,0.49656108422948525,0.0679440735912342,0.4334359308583342,0.36719408098319906,HO,0.3333333333333333,0.44949258300614203,0.5022120963890173,0.18319764642111788,0.0,1.0,0.9147067858969846,,0.33009746377872806,,0.5,0.8826943170376674,0.11730568296233257,0.9147067858969846,0.33009746377872806,M,0.405854960662686,0.022928454268868637,0.15126961803558947,6
26,11,18,0,SH,G,1.0,G_2,3,2,4,2,3,4,2,2,1,0,1,0.6666666666666666,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,1.0,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.3993411907692452,0.337109678955582,0.18171791278917143,0.09501643250776015,0.9216466997750103,0.884695100132376,2.4046001419,2.8684795424,,,558.2496845999267,561.728783900151,562.650430599926,565.8526459999848,566.7373411001172,0.884695100132376,569.334952400066,569.6909509000834,569.9527114999946,0.3123900213752224,0.3333333333333333,0.052520666925514436,0.4469049758065367,0.052520666925514436,0.07987697008706235,0.8676023629874232,0.3123900213752224,0.36719408098319906,0.4617046685873988,0.4469049758065367,0.06114966623211077,0.4900923377725008,0.4617046685873988,BR,0.6666666666666666,0.3911941063485182,0.45817342047472354,0.8676023629874232,1.0,0.0,1.1656392684097865,,,0.30623682176690464,0.6666666666666666,0.7982813537444858,0.2017186462555142,1.1656392684097865,0.30623682176690464,S,0.4652694645964174,0.020439117608308355,0.05178451919654581,6
26,11,19,0,SH,M,1.0,M_2,3,3,4,2,4,4,3,3,1,0,1,1.0,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.01,0.23862381700304894,0.6929262900381034,0.0676191691885054,1.0529454997740686,0.6174920999910682,0.5931013547,3.0738598857,,,570.9326099001337,572.5674277001526,573.6203731999267,577.0209037000313,577.6383958000224,0.6174920999910682,579.4633468999527,579.8111855001189,580.068378899945,0.3956452149350087,0.5,0.6485318632500054,0.502214478225883,0.6485318632500054,0.11483170181473541,0.23663643493525915,0.3956452149350087,0.36719408098319906,0.4617046685873988,0.502214478225883,0.055034699608899694,0.4410831039952507,0.4617046685873988,BR,0.6666666666666666,0.3963530137299563,0.45817342047472354,0.23663643493525915,0.0,1.0,,,,0.30623682176690464,0.0,0.97,0.01,0.30623682176690464,,S,0.3868746619214348,0.011327831682737766,0.1060775079413745,6
26,11,20,0,SH,M,1.0,M_2,3,4,4,3,5,4,4,3,1,1,1,1.0,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,1.0,0.01,0.12415220392893633,0.8115623951925311,0.060349292939711335,0.8422193999867886,0.5660751999821514,3.109501043,0.8198936177,,,581.0484589000698,585.201192199951,586.0434115999378,587.1843052001204,587.7503804001026,0.5660751999821514,590.694491900038,591.0521951999981,591.3206720999442,0.4731407936888684,0.6666666666666666,0.7541886975835663,0.5519930304032947,0.7541886975835663,0.13037957105595563,0.11543173136047802,0.4731407936888684,0.47762127536578636,0.4617046685873988,0.5519930304032947,0.049531229648009725,0.39697479359572563,0.47762127536578636,HO,0.5,0.4006417924045314,0.5098478616226605,0.13037957105595563,0.0,1.0,,,,0.548086688735862,0.3333333333333333,0.97,0.01,0.548086688735862,,S,0.44818719572929133,0.002771467635205749,0.07740830738801907,6
26,11,21,0,SH,M,1.0,M_2,3,5,4,4,6,4,4,3,1,2,1,1.0,0.6666666666666666,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,1.0,1.0,1.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,1.0,0.01,0.09387711552782166,0.6859741913487359,0.21902449964379442,0.6332874000072479,0.8007361998315901,1.0710970025,1.6742131204,,,592.299189500045,594.4142362000421,595.0475236000493,597.0756606000941,597.8763967999257,0.8007361998315901,598.8931972000282,599.2467468001414,599.5044402000494,0.5431788919888925,0.8333333333333334,0.7041280092326067,0.5967937273629652,0.7041280092326067,0.21114426013844959,0.08472773062894377,0.5431788919888925,0.5810554936478495,0.4617046685873988,0.5967937273629652,0.04457810668320875,0.35727731423615305,0.5810554936478495,HO,0.6666666666666666,0.40204084936136086,0.5167702021270179,0.21114426013844959,0.0,1.0,,,,0.7812533501859092,0.6666666666666666,0.97,0.01,0.7812533501859092,,C,0.5033684761563622,-0.005325405280262929,0.05550911239848744,6
26,11,22,0,SH,,,,,6,4,4,0,2,2,3,1,3,1,1.0,1.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,1.0,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.8,0.2,0.8,0.2,,,0.4619772934,,,,600.5044402000494,601.8664174934494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
26,11,23,0,BR,G,1.0,G_2,3,0,2,2,1,3,2,0,1,0,1,0.0,0.0,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.42111868765811966,0.19778263942220853,0.24036734858570535,0.16073132433396636,0.6036837000865489,1.2444197000004351,2.5623494778,1.2395710454,,,605.0267813000828,608.6398728999775,609.243556600064,610.8060324001126,612.050452100113,1.2444197000004351,615.8087699001189,616.1667057001032,616.4232656999957,0.3089801950958243,0.3333333333333333,0.1909873302375205,0.32154958281253776,0.39912901994097916,0.4098836498215003,0.1909873302375205,0.204112396058285,0.40879875960551015,0.3089801950958243,0.6371143546266687,0.040120296014887875,0.32154958281253776,0.40879875960551015,HO,0.3333333333333333,0.45817342047472354,0.5167702021270179,0.4098836498215003,1.0,0.0,0.7738361392477007,,0.33009746377872806,,0.0,0.6704591400538243,0.3295408599461756,0.7738361392477007,0.33009746377872806,M,0.4052632957217095,0.030683239280790253,0.20473103419248107,6
26,11,24,0,BR,G,1.0,G_2,4,1,3,2,2,4,2,1,1,0,1,0.3333333333333333,0.0,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.7529670602736873,0.0684708455950418,0.11579058909232054,0.08277150503895028,1.0629286000039428,1.3245078998152167,1.1198108568,0.7215568403,,,617.4113597001415,619.5814680000767,620.6443966000807,621.6888928001281,623.0134006999433,1.3245078998152167,625.487698999932,625.853094600141,626.1058084000833,0.41244839474370587,0.5,0.7587620583262944,0.389394624531284,0.07180640547070757,0.16943153620299803,0.7587620583262944,0.296587742105574,0.40879875960551015,0.41244839474370587,0.5734029191640018,0.036108266413399086,0.389394624531284,0.40879875960551015,HO,0.3333333333333333,0.46591798130389334,0.5167702021270179,0.16943153620299803,0.0,1.0,1.265192503045997,,0.33009746377872806,,0.5,0.9136211097641157,0.0863788902358843,1.265192503045997,0.33009746377872806,M,0.4647369661495385,0.019555734875331743,0.14648500613612114,6
26,11,25,0,SH,G,1.0,G_2,4,2,4,2,3,4,2,2,1,0,1,0.6666666666666666,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,1.0,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,0.4538249866917404,0.3157794846717719,0.16905114897359796,0.07497397373222779,1.2874413998797536,0.5232875999063253,1.9725038749,3.1792327845,,,627.0885375000071,630.1179275000468,631.4053688999265,634.9162433000747,635.439530899981,0.5232875999063253,636.4324421000201,636.7798349999357,637.0397155000828,0.38174731552150637,0.3333333333333333,0.05691923430575385,0.5160626272476015,0.05691923430575385,0.07000674288788102,0.8730740228063651,0.38174731552150637,0.40879875960551015,0.5098451451362613,0.5160626272476015,0.032497439772059176,0.4504551620781556,0.5098451451362613,BR,0.6666666666666666,0.40163512747328844,0.4733218888696083,0.8730740228063651,1.0,0.0,1.5251964887917093,,,0.48720638029820423,0.6666666666666666,0.840431262665514,0.15956873733448598,1.5251964887917093,0.48720638029820423,S,0.5182632695345847,0.013751301089121148,0.033138169491760294,6
26,11,26,0,SH,M,1.0,M_2,3,3,4,2,4,4,3,3,1,0,1,1.0,0.0,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.01,0.22284302844037876,0.721735817995233,0.053855750980666243,1.0306575999129564,0.7776404998730868,0.3270158787,2.5846879479,,,638.0491049999837,639.4226794000715,640.4533369999845,643.3708282001317,644.1484687000047,0.7776404998730868,646.7475547001231,647.0946734999306,647.3575462000445,0.460834577297963,0.5,0.6776698798310377,0.5644563645228414,0.6776698798310377,0.10179752305539373,0.22053259711356857,0.460834577297963,0.40879875960551015,0.5098451451362613,0.5644563645228414,0.029247695794853257,0.40540964587034006,0.5098451451362613,BR,0.6666666666666666,0.4051060057202147,0.4733218888696083,0.22053259711356857,0.0,1.0,,,,0.48720638029820423,0.0,0.97,0.01,0.48720638029820423,,S,0.4302600572061892,0.004886099274728661,0.09859906221823905,6
26,11,27,0,SH,M,1.0,M_2,1,4,4,3,5,4,4,3,1,1,1,1.0,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,,,1.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,1.0,0.010000000000000002,0.11509129057132739,0.8346445116923179,0.04572908958849965,1.0619663000106812,1.3842188999988139,0.898060894,1.3379012327,,,648.3382101999596,650.2784180999734,651.340384399984,653.0082378000952,654.392456700094,1.3842188999988139,657.6534720000345,658.002993900096,658.2589710999746,0.5332853215992721,0.6666666666666666,0.7795825668116592,0.6080107280705573,0.7795825668116592,0.11414443999958655,0.10627299318875429,0.5332853215992721,0.5191848051565287,0.5098451451362613,0.6080107280705573,0.026322926215367932,0.3648686812833061,0.5191848051565287,HO,0.5,0.4069559094756922,0.5237009674212604,0.11414443999958655,0.0,1.0,,,,0.7392466667711988,0.3333333333333333,0.97,0.01,0.7392466667711988,,S,0.4872340514855703,-0.0034305380586824308,0.06872187596637769,6
